Algorithm,Accuracy,Precision,Recall,F1 (weighted),ROC-AUC
1. Logistic Regression,0.7977288857345636,0.7899786293751796,0.7977288857345636,0.7925412060861545,0.8390839339688444
5. Support Vector Machine (SVC),0.794180269694819,0.7827995056206996,0.794180269694819,0.7849162533655801,0.7959156785243741
4. Decision Tree Classifier,0.794889992902768,0.7826376919350659,0.794889992902768,0.7839269430825346,0.8349091942442327
2. K-Nearest Neighbors,0.772888573456352,0.7695202678695634,0.772888573456352,0.7710674981301459,0.8112105711849957
3. Naive Bayes (Gaussian),0.6870120652945352,0.7927593129556687,0.6870120652945352,0.7052822959883029,0.80520292438451
