Model,R2,RMSE,MAE
ElasticNet Regression,0.1899081389518048,0.14666266403396447,0.10671257406085166
Lasso Regression,0.18956866387205917,0.14669339086076813,0.10683214249826373
Ridge Regression,0.17391487637267944,0.14810333416495133,0.10845558112493352
Linear Regression,0.15033229863910635,0.1502024407144791,0.11153730053415711
Polynomial Regression Degree 2,-570.7653689927885,3.8963804767433166,0.8606350771896578
