Model,R2,RMSE,MAE
Random Forest Regressor,0.5445837384367678,0.10996556297073219,0.0690127291755416
Gradient Boosting Regressor,0.4573970229486056,0.12003102675464336,0.07835496566640993
SVR,0.3081466452456144,0.13553749680944488,0.09765919325977021
KNN Regressor,0.23673542091345012,0.14236065883825075,0.10124658049722222
